idx,case_idx,key,seconds,pesq,estoi,sdr,proj_sdr,si_sdr,sdr_mix,proj_sdr_mix,si_sdr_mix,sdr_i,proj_sdr_i,si_sdr_i,interferer_si_sdr,target_margin_db,target_confusion_rate
700,1,22ga010n_1.7826_442c020w_-1.7826_442o030k,5.86,2.9929394721984863,0.9122942619927636,16.288310855331734,15.908731885820249,15.908731634667728,-3.8449972815100524,-3.9622475976955105,-3.962266439910599,20.133308136841787,19.87097948351576,19.870998074578328,-33.79565052975058,49.704382164418305,0.0
701,0,22ga010o_0.80384_421c0213_-0.80384_22gc010y,3.59,3.3311357498168945,0.9237474645943681,19.231854793294275,18.772818868967814,18.77291926474883,4.262822723897587,4.152172600036974,4.152175992653367,14.969032069396688,14.620646268930841,14.620743272095462,-29.979609966558726,48.752529231307555,0.0
701,1,22ga010o_0.80384_421c0213_-0.80384_421a010e,3.59,3.297455310821533,0.9057123296281282,14.84633958158595,14.410357153288519,14.410416527287481,-3.7591395914501446,-4.059781693638152,-4.059774351280273,18.605479173036095,18.470138846926673,18.470190878567756,-31.34522997852702,45.7556465058145,0.0
702,0,22ga010o_1.5159_052c0102_-1.5159_22ga0108,5.78,3.6431941986083984,0.9087983498488812,16.404052865604427,15.97920912302143,15.979216642962195,3.0428136637912164,2.9635411388325883,2.9635363809552357,13.361239201813211,13.015667984188841,13.01568026200696,-31.246096332847912,47.225312975810105,0.0
702,1,22ga010o_1.5159_052c0102_-1.5159_052c0114,5.78,3.3340020179748535,0.8876748833653072,13.730942706449271,13.3665843278827,13.366578900485282,-2.8835762154497435,-3.135575491723283,-3.1355898243058524,16.614518921899016,16.502159819605982,16.502168724791133,-28.510453014240113,41.87703191472539,0.0
703,0,22ga010p_0.92198_423a0105_-0.92198_22gc0113,5.0,3.0424230098724365,0.8609462548948129,14.566823354263168,14.22853188630106,14.228528798191764,2.1929752387235193,2.099651386924606,2.0996469157322575,12.373848115539648,12.128880499376454,12.128881882459506,-24.734654028397436,38.963182826589204,0.0
703,1,22ga010p_0.92198_423a0105_-0.92198_423a010u,5.0,3.3537604808807373,0.9196824068182963,12.397079120702717,11.692966488379255,11.692962948610559,-1.593202953848909,-1.8712365831163096,-1.8712460073880035,13.990282074551626,13.564203071495566,13.564208955998563,-26.469445442220024,38.162408390830585,0.0
704,0,22ga010q_1.9519_444c0209_-1.9519_22ga010b,6.14,3.185469627380371,0.8893277985750585,18.3981464754603,18.039956115909725,18.04007360470907,4.185982483991246,4.092819375236154,4.092813503411397,14.212163991469055,13.947136740673571,13.947260101297676,-28.287903038612207,46.32797664332128,0.0
704,1,22ga010q_1.9519_444c0209_-1.9519_444o030n,6.14,3.171860456466675,0.9190854206204699,15.202885664199,14.957138041748292,14.957211625878305,-3.475450504870852,-3.647872387846958,-3.6478705439870147,18.67833616906985,18.60501042959525,18.60508216986532,-27.2470654267052,42.20427705258351,0.0
705,0,22ga010r_0.041318_050a050c_-0.041318_22ga010c,5.458875,3.2937207221984863,0.9002002026224568,19.444375294400455,19.070066011123323,19.071938477262137,1.4931833461017425,1.4312964058627782,1.4314080270141423,17.951191948298714,17.638769605260546,17.640530450247994,-34.10454489873408,53.17648337599622,0.0
